City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Hasaki,JP,2021-05-31 02:10:08,35.7333,140.8333,75.18,60,0,11.12
102,Vao,NC,2021-05-31 02:11:15,-22.6667,167.4833,70.14,55,92,17.63
103,Kapaa,US,2021-05-31 02:07:50,22.0752,-159.319,82.72,63,75,1.99
104,Papetoai,PF,2021-05-31 02:11:18,-17.4961,-149.8729,81.99,68,60,16.4
105,Lompoc,US,2021-05-31 02:06:59,34.6391,-120.4579,71.13,82,1,10.36
106,Lasa,IT,2021-05-31 02:11:20,46.6166,10.7002,49.62,82,20,1.68
107,Ancud,CL,2021-05-31 02:11:21,-41.8697,-73.8203,56.23,97,100,13.85
108,Port Alfred,ZA,2021-05-31 02:10:24,-33.5906,26.891,55.99,69,100,13.96
109,Viedma,AR,2021-05-31 02:10:33,-40.8135,-62.9967,57.6,54,100,26.82
110,Yanam,IN,2021-05-31 02:11:25,16.7333,82.2167,90.0,61,64,6.96
111,Vaini,TO,2021-05-31 02:11:26,-21.2,-175.2,75.36,83,75,3.44
112,Grand-Santi,GF,2021-05-31 02:11:27,4.25,-54.3833,73.87,99,100,2.13
113,Angola,AO,2021-05-31 02:11:29,-12.5,18.5,47.88,48,0,3.2
114,Novyy Urengoy,RU,2021-05-31 02:11:30,66.0833,76.6333,39.51,59,100,13.58
115,Tautira,PF,2021-05-31 02:10:58,-17.7333,-149.15,82.42,69,100,15.12
116,Kruisfontein,ZA,2021-05-31 02:11:32,-34.0033,24.7314,49.42,79,79,6.04
117,Atocha,BO,2021-05-31 02:11:34,-20.9333,-66.2333,35.38,25,5,6.87
118,Hithadhoo,MV,2021-05-31 02:11:35,-0.6,73.0833,83.79,70,8,18.21
119,Axim,GH,2021-05-31 02:11:36,4.8699,-2.2405,78.73,87,100,6.93
120,Vestmannaeyjar,IS,2021-05-31 02:11:29,63.4427,-20.2734,45.07,81,9,16.67
121,Bluff,NZ,2021-05-31 02:11:39,-46.6,168.3333,49.8,88,100,20.47
122,Poum,NC,2021-05-31 02:11:41,-20.2333,164.0167,72.0,61,100,17.38
123,Pervoavgustovskiy,RU,2021-05-31 02:11:42,52.2264,35.0552,43.56,90,100,11.81
124,Bambous Virieux,MU,2021-05-31 02:11:44,-20.3428,57.7575,71.22,79,38,9.53
125,Safaga,EG,2021-05-31 02:11:45,26.7292,33.9365,84.87,31,62,9.98
126,Katsuura,JP,2021-05-31 02:11:47,35.1333,140.3,75.24,63,0,13.53
127,Puerto Del Rosario,ES,2021-05-31 02:11:49,28.5004,-13.8627,67.75,73,84,14.97
128,Camocim,BR,2021-05-31 02:11:51,-2.9022,-40.8411,75.13,85,1,9.28
129,Vila Franca Do Campo,PT,2021-05-31 02:11:52,37.7167,-25.4333,61.21,81,100,5.79
130,Krasnoselkup,RU,2021-05-31 02:11:54,65.7,82.4667,42.22,89,100,8.25
131,Regeneracao,BR,2021-05-31 02:11:56,-6.2378,-42.6883,74.95,53,61,2.3
132,Kholm,RU,2021-05-31 02:11:57,59.2667,32.85,35.71,68,13,2.15
133,Torbay,CA,2021-05-31 02:11:58,47.6666,-52.7314,48.67,81,100,7.0
134,Mattru,SL,2021-05-31 02:12:00,7.6244,-11.8332,74.86,95,100,3.11
135,Paamiut,GL,2021-05-31 02:12:01,61.994,-49.6678,35.51,88,90,12.97
136,Chokurdakh,RU,2021-05-31 02:12:02,70.6333,147.9167,66.74,22,6,13.2
