City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
697,Agadez,NE,19.75,10.25,94.26,10,100,11.34,overcast clouds
698,Praia,CV,14.9215,-23.5087,77.54,69,20,21.85,few clouds
699,Kuala Terengganu,MY,5.3302,103.1408,78.75,89,20,2.3,few clouds
700,Lamu,KE,-2.2717,40.902,77.18,83,56,19.62,light rain
701,Luanda,AO,-8.8368,13.2343,77.0,83,20,9.22,few clouds
702,Baisha,CN,26.5222,110.9311,68.22,77,8,2.42,clear sky
703,Jamiltepec,MX,16.2833,-97.8167,90.1,47,88,10.33,overcast clouds
704,Kichera,RU,55.9375,110.0997,45.23,78,98,4.83,overcast clouds
705,Balakhninskiy,RU,58.0106,114.2769,47.35,93,100,4.5,overcast clouds
706,Taksimo,RU,56.3444,114.8794,50.18,81,100,5.99,light rain
707,Macae,BR,-22.3708,-41.7869,85.75,54,0,5.75,clear sky
708,Augusto Correa,BR,-1.0217,-46.635,79.47,88,25,4.03,scattered clouds
709,Porto Novo,BJ,6.4965,2.6036,82.22,78,88,8.32,overcast clouds
710,Bubaque,GW,11.2833,-15.8333,79.48,85,49,18.03,scattered clouds
711,Capinzal,BR,-27.3436,-51.6119,61.74,98,100,1.16,moderate rain
712,Marsaxlokk,MT,35.8419,14.5431,72.09,83,0,9.22,clear sky
713,Aasiaat,GL,68.7098,-52.8699,36.21,88,75,4.47,broken clouds
714,Geghamasar,AM,40.3109,45.6792,45.3,88,29,4.65,scattered clouds
715,Itamaraca,BR,-7.7478,-34.8256,79.48,81,16,11.25,few clouds
716,Emirdag,TR,39.0197,31.15,57.13,48,0,3.22,clear sky
