City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
264,Barranca,PE,65.84,few clouds,-10.75,-77.7667,El Olivar Hospedaje
266,Praia,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
267,Saint-Joseph,RE,72.46,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
271,Eyemouth,GB,57.24,broken clouds,55.8713,-2.0901,Redhall Cottage
275,Ihosy,MG,57.2,clear sky,-22.4,46.1167,Tamana Hôtel
279,Mandalgovi,MN,62.46,overcast clouds,45.7625,106.2708,В.Ганбат
285,Bayir,TR,64.92,clear sky,37.2687,28.2167,Hotel Babadag
286,Ponta Delgada,PT,65.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
289,Kencong,ID,74.53,scattered clouds,-8.2833,113.3667,GUBUK SUGIANTO
291,Termoli,IT,67.28,few clouds,41.9888,14.9895,Hotel Mistral
292,Catamarca,AR,68.77,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
295,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
297,Guangyuan,CN,66.88,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
298,Chicama,PE,64.94,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
301,Karratha,AU,70.45,broken clouds,-20.7377,116.8463,ibis Styles Karratha
316,Dongkan,CN,72.55,clear sky,33.9997,119.8308,Triumphal Resort
318,Husavik,IS,55.31,overcast clouds,66.0449,-17.3389,Bjarnabúð
325,Sumbawanga,TZ,55.62,broken clouds,-7.9667,31.6167,Matamba II Guest House
326,Kursavka,RU,56.21,overcast clouds,44.4564,42.5093,Dom Otdykha
327,Zigong,CN,72.05,overcast clouds,29.3416,104.7769,Shangkeyou Express Hotel In Wuxing Street
328,Whitehorse,CA,63.37,light rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
331,Praia Da Vitoria,PT,66.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
333,Samarinda,ID,74.03,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
338,Hualmay,PE,66.67,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
340,Gimli,CA,69.82,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
342,Nhulunbuy,AU,74.01,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
345,Giraltovce,SK,59.31,few clouds,49.114,21.5173,Skalný orol
351,Rio Grande,BR,62.71,heavy intensity rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
353,Ascona,CH,66.22,clear sky,46.1545,8.7733,Hotel Eden Roc
354,Mount Isa,AU,55.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
355,Chapais,CA,58.78,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
360,Inhambane,MZ,65.1,light rain,-23.865,35.3833,Oceano
367,Vendas Novas,PT,63.09,clear sky,38.6771,-8.4579,Hotel Acez
370,Zurrieq,MT,69.96,clear sky,35.8311,14.4742,Ta'Bertu Guest House
372,Ust-Nera,RU,71.46,clear sky,64.5667,143.2,Hotel Ust-Nera
375,Srandakan,ID,56.73,clear sky,-7.9386,110.2506,Puri Brata
376,Poum,NC,73.2,overcast clouds,-20.2333,164.0167,Gîte kajeon
378,Scarborough,GB,58.91,scattered clouds,54.2797,-0.4044,Ambassador
379,Coquimbo,CL,56.93,overcast clouds,-29.9533,-71.3436,Punto de encuentro
380,Urumqi,CN,56.35,broken clouds,43.801,87.6005,Hua Ling Grand Hotel Urumqi
381,Raahe,FI,57.29,overcast clouds,64.6833,24.4833,Hotelli Raahen Hovi
383,Ahipara,NZ,58.21,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
385,Agadir,MA,64.85,clear sky,30.4202,-9.5982,Iberostar Founty Beach
390,Loksa,EE,59.32,scattered clouds,59.5764,25.7214,Projekt-Kodu Retreat & Eco-Hostel
395,Muros,ES,64.24,clear sky,42.7762,-9.0603,Apartment Av. Castelao
397,Svetlogorsk,BY,56.19,broken clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
399,Rognan,NO,55.54,clear sky,67.0953,15.3878,Rognan Hotell
407,Matane,CA,74.95,broken clouds,48.8286,-67.522,Hotel-Motel Belle Plage
409,Gazi,GR,70.61,few clouds,35.3253,25.0669,Sun Hotel
416,Akoupe,CI,74.25,broken clouds,6.39,-3.9003,Hotel le Pavillon
417,Bagdarin,RU,58.12,scattered clouds,54.4333,113.6,Gostevoy Dom Terem
418,Gibsons,CA,65.12,overcast clouds,49.3997,-123.5027,Cedars Inn Hotel & Convention Center
419,Lishui,CN,66.56,clear sky,28.4604,119.9103,Bayi Hotel
421,Camacha,PT,63.54,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
422,Lata,PT,61.03,clear sky,40.1629,-8.3327,Casa Maquia
428,Faya,SA,69.91,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
430,Hami,CN,70.84,broken clouds,42.8,93.45,Laoyutang Resort
433,Port Said,EG,71.58,clear sky,31.2565,32.2841,Aracan Hotel
437,College,US,70.09,clear sky,64.8569,-147.8028,Pike's Waterfront Lodge
438,Bumba,CD,70.52,light rain,2.1833,22.4667,Hôtel Cape Town
442,Pumiao,CN,70.2,clear sky,22.75,108.4833,Mushang Boutique Hotel
443,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
445,Saint-Francois,FR,60.19,clear sky,46.4154,3.9054,Manoir Du Bonheur
452,Fort-Shevchenko,KZ,72.77,overcast clouds,44.5086,50.263,Oasis hotel Bautino
453,Severnyy,RU,55.44,clear sky,50.677,36.5532,Full House North Mini-Hotel
455,Presidencia Roque Saenz Pena,AR,74.82,overcast clouds,-26.7852,-60.4388,Hotel Gualok
461,Horsham,GB,62.73,clear sky,51.064,-0.3272,Springfields Hotel
465,Krasnyy Yar,RU,60.73,overcast clouds,46.5331,48.3456,Cottege near Ufa
466,Mbandaka,CD,71.08,overcast clouds,0.0487,18.2603,Guest House Epervier
470,Zhoukou,CN,73.09,clear sky,33.6333,114.6333,Thank Inn Chain Hotel henan zhoukou chuanhui district zhoukou normal university
471,Moerai,PF,72.84,very heavy rain,-22.4333,-151.3333,Le Manotel
473,Umuahia,NG,73.11,overcast clouds,5.5263,7.4896,Hotel Macbek Limited
474,Daoukro,CI,73.74,scattered clouds,7.0591,-3.9631,Komenan brou roseline
477,Orchard Homes,US,73.6,clear sky,46.8633,-114.0484,Broadway Inn Missoula
478,Ibiuna,BR,74.26,clear sky,-23.6564,-47.2225,Ibitur Hotel
